"Time","Contracts","Funding Interval","Funding Rate"
"2023-11-21 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-21 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-21 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-20 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-20 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-20 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-19 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-19 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-19 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-18 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-18 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-18 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-17 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-17 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-17 01:00:00","BTCUSDT Perpetual","8h","0.012014%"
"2023-11-16 17:00:00","BTCUSDT Perpetual","8h","0.015199%"
"2023-11-16 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-16 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-15 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-15 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-15 01:00:00","BTCUSDT Perpetual","8h","0.014477%"
"2023-11-14 17:00:00","BTCUSDT Perpetual","8h","0.016369%"
"2023-11-14 09:00:00","BTCUSDT Perpetual","8h","0.017382%"
"2023-11-14 01:00:00","BTCUSDT Perpetual","8h","0.020492%"
"2023-11-13 17:00:00","BTCUSDT Perpetual","8h","0.010893%"
"2023-11-13 09:00:00","BTCUSDT Perpetual","8h","0.032466%"
"2023-11-13 01:00:00","BTCUSDT Perpetual","8h","0.027221%"
"2023-11-12 17:00:00","BTCUSDT Perpetual","8h","0.023487%"
"2023-11-12 09:00:00","BTCUSDT Perpetual","8h","0.015430%"
"2023-11-12 01:00:00","BTCUSDT Perpetual","8h","0.014648%"
"2023-11-11 17:00:00","BTCUSDT Perpetual","8h","0.016607%"
"2023-11-11 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-11 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-10 17:00:00","BTCUSDT Perpetual","8h","0.011682%"
"2023-11-10 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-10 01:00:00","BTCUSDT Perpetual","8h","0.020027%"
"2023-11-09 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-09 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-09 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-08 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-08 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-08 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-07 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-07 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-07 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-06 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-06 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-06 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-05 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-05 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-05 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-04 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-04 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-04 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-03 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-03 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-03 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-02 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-02 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-02 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-01 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-01 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-11-01 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-31 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-31 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-31 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-30 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-30 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-30 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-29 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-29 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-29 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-28 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-28 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-28 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-27 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-27 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-27 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-26 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-26 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-26 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-25 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-25 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-25 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-24 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-24 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-24 01:00:00","BTCUSDT Perpetual","8h","0.000648%"
"2023-10-23 17:00:00","BTCUSDT Perpetual","8h","0.009590%"
"2023-10-23 09:00:00","BTCUSDT Perpetual","8h","0.008250%"
"2023-10-23 01:00:00","BTCUSDT Perpetual","8h","0.003114%"
"2023-10-22 17:00:00","BTCUSDT Perpetual","8h","0.002578%"
"2023-10-22 09:00:00","BTCUSDT Perpetual","8h","0.002567%"
"2023-10-22 01:00:00","BTCUSDT Perpetual","8h","0.005827%"
"2023-10-21 17:00:00","BTCUSDT Perpetual","8h","0.004373%"
"2023-10-21 09:00:00","BTCUSDT Perpetual","8h","-0.001585%"
"2023-10-21 01:00:00","BTCUSDT Perpetual","8h","0.002686%"
"2023-10-20 17:00:00","BTCUSDT Perpetual","8h","0.001938%"
"2023-10-20 09:00:00","BTCUSDT Perpetual","8h","-0.009272%"
"2023-10-20 01:00:00","BTCUSDT Perpetual","8h","-0.011006%"
"2023-10-19 17:00:00","BTCUSDT Perpetual","8h","-0.000624%"
"2023-10-19 09:00:00","BTCUSDT Perpetual","8h","-0.001028%"
"2023-10-19 01:00:00","BTCUSDT Perpetual","8h","0.001643%"
"2023-10-18 17:00:00","BTCUSDT Perpetual","8h","-0.001216%"
"2023-10-18 09:00:00","BTCUSDT Perpetual","8h","-0.003343%"
"2023-10-18 01:00:00","BTCUSDT Perpetual","8h","-0.002311%"
"2023-10-17 17:00:00","BTCUSDT Perpetual","8h","0.001493%"
"2023-10-17 09:00:00","BTCUSDT Perpetual","8h","0.000204%"
"2023-10-17 01:00:00","BTCUSDT Perpetual","8h","0.009644%"
"2023-10-16 17:00:00","BTCUSDT Perpetual","8h","0.000028%"
"2023-10-16 09:00:00","BTCUSDT Perpetual","8h","0.000511%"
"2023-10-16 01:00:00","BTCUSDT Perpetual","8h","0.002224%"
"2023-10-15 17:00:00","BTCUSDT Perpetual","8h","0.004292%"
"2023-10-15 09:00:00","BTCUSDT Perpetual","8h","-0.001509%"
"2023-10-15 01:00:00","BTCUSDT Perpetual","8h","0.002456%"
"2023-10-14 17:00:00","BTCUSDT Perpetual","8h","0.002211%"
"2023-10-14 09:00:00","BTCUSDT Perpetual","8h","0.000104%"
"2023-10-14 01:00:00","BTCUSDT Perpetual","8h","0.002326%"
"2023-10-13 17:00:00","BTCUSDT Perpetual","8h","0.002039%"
"2023-10-13 09:00:00","BTCUSDT Perpetual","8h","0.002294%"
"2023-10-13 01:00:00","BTCUSDT Perpetual","8h","0.007304%"
"2023-10-12 17:00:00","BTCUSDT Perpetual","8h","0.002661%"
"2023-10-12 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-10-12 01:00:00","BTCUSDT Perpetual","8h","0.006319%"
"2023-10-11 17:00:00","BTCUSDT Perpetual","8h","0.008330%"
"2023-10-11 09:00:00","BTCUSDT Perpetual","8h","0.005918%"
"2023-10-11 01:00:00","BTCUSDT Perpetual","8h","0.004548%"
"2023-10-10 17:00:00","BTCUSDT Perpetual","8h","0.001894%"
"2023-10-10 09:00:00","BTCUSDT Perpetual","8h","0.006349%"
"2023-10-10 01:00:00","BTCUSDT Perpetual","8h","0.007838%"
"2023-10-09 17:00:00","BTCUSDT Perpetual","8h","0.003515%"
"2023-10-09 09:00:00","BTCUSDT Perpetual","8h","0.003992%"
"2023-10-09 01:00:00","BTCUSDT Perpetual","8h","0.005163%"
"2023-10-08 17:00:00","BTCUSDT Perpetual","8h","0.000974%"
"2023-10-08 09:00:00","BTCUSDT Perpetual","8h","0.000314%"
"2023-10-08 01:00:00","BTCUSDT Perpetual","8h","0.002083%"
"2023-10-07 17:00:00","BTCUSDT Perpetual","8h","0.002849%"
"2023-10-07 09:00:00","BTCUSDT Perpetual","8h","0.002124%"
"2023-10-07 01:00:00","BTCUSDT Perpetual","8h","-0.003149%"
"2023-10-06 17:00:00","BTCUSDT Perpetual","8h","0.001436%"
"2023-10-06 09:00:00","BTCUSDT Perpetual","8h","-0.001106%"
"2023-10-06 01:00:00","BTCUSDT Perpetual","8h","-0.002302%"
"2023-10-05 17:00:00","BTCUSDT Perpetual","8h","-0.004268%"
"2023-10-05 09:00:00","BTCUSDT Perpetual","8h","-0.003807%"
"2023-10-05 01:00:00","BTCUSDT Perpetual","8h","-0.002857%"
"2023-10-04 17:00:00","BTCUSDT Perpetual","8h","0.006200%"
"2023-10-04 09:00:00","BTCUSDT Perpetual","8h","0.006031%"
"2023-10-04 01:00:00","BTCUSDT Perpetual","8h","0.002500%"
"2023-10-03 17:00:00","BTCUSDT Perpetual","8h","0.001667%"
"2023-10-03 09:00:00","BTCUSDT Perpetual","8h","0.004172%"
"2023-10-03 01:00:00","BTCUSDT Perpetual","8h","-0.001477%"
"2023-10-02 17:00:00","BTCUSDT Perpetual","8h","0.000728%"
"2023-10-02 09:00:00","BTCUSDT Perpetual","8h","0.005831%"
"2023-10-02 01:00:00","BTCUSDT Perpetual","8h","-0.002263%"
"2023-10-01 17:00:00","BTCUSDT Perpetual","8h","-0.000619%"
"2023-10-01 09:00:00","BTCUSDT Perpetual","8h","0.000295%"
"2023-10-01 01:00:00","BTCUSDT Perpetual","8h","0.001524%"
"2023-09-30 17:00:00","BTCUSDT Perpetual","8h","0.001864%"
"2023-09-30 09:00:00","BTCUSDT Perpetual","8h","0.000643%"
"2023-09-30 01:00:00","BTCUSDT Perpetual","8h","0.000476%"
"2023-09-29 17:00:00","BTCUSDT Perpetual","8h","-0.002567%"
"2023-09-29 09:00:00","BTCUSDT Perpetual","8h","-0.003894%"
"2023-09-29 01:00:00","BTCUSDT Perpetual","8h","-0.004732%"
"2023-09-28 17:00:00","BTCUSDT Perpetual","8h","-0.001581%"
"2023-09-28 09:00:00","BTCUSDT Perpetual","8h","0.000674%"
"2023-09-28 01:00:00","BTCUSDT Perpetual","8h","0.002074%"
"2023-09-27 17:00:00","BTCUSDT Perpetual","8h","0.003378%"
"2023-09-27 09:00:00","BTCUSDT Perpetual","8h","0.009944%"
"2023-09-27 01:00:00","BTCUSDT Perpetual","8h","0.005626%"
"2023-09-26 17:00:00","BTCUSDT Perpetual","8h","-0.001215%"
"2023-09-26 09:00:00","BTCUSDT Perpetual","8h","-0.003910%"
"2023-09-26 01:00:00","BTCUSDT Perpetual","8h","0.004792%"
"2023-09-25 17:00:00","BTCUSDT Perpetual","8h","0.008565%"
"2023-09-25 09:00:00","BTCUSDT Perpetual","8h","-0.001260%"
"2023-09-25 01:00:00","BTCUSDT Perpetual","8h","0.002887%"
"2023-09-24 17:00:00","BTCUSDT Perpetual","8h","0.004720%"
"2023-09-24 09:00:00","BTCUSDT Perpetual","8h","-0.001392%"
"2023-09-24 01:00:00","BTCUSDT Perpetual","8h","0.000208%"
"2023-09-23 17:00:00","BTCUSDT Perpetual","8h","0.001556%"
"2023-09-23 09:00:00","BTCUSDT Perpetual","8h","0.006676%"
"2023-09-23 01:00:00","BTCUSDT Perpetual","8h","0.002136%"
"2023-09-22 17:00:00","BTCUSDT Perpetual","8h","0.001034%"
"2023-09-22 09:00:00","BTCUSDT Perpetual","8h","-0.000062%"
"2023-09-22 01:00:00","BTCUSDT Perpetual","8h","0.007429%"
"2023-09-21 17:00:00","BTCUSDT Perpetual","8h","0.004302%"
"2023-09-21 09:00:00","BTCUSDT Perpetual","8h","-0.000029%"
"2023-09-21 01:00:00","BTCUSDT Perpetual","8h","-0.000991%"
"2023-09-20 17:00:00","BTCUSDT Perpetual","8h","-0.003777%"
"2023-09-20 09:00:00","BTCUSDT Perpetual","8h","-0.002614%"
"2023-09-20 01:00:00","BTCUSDT Perpetual","8h","-0.001756%"
"2023-09-19 17:00:00","BTCUSDT Perpetual","8h","-0.001972%"
"2023-09-19 09:00:00","BTCUSDT Perpetual","8h","0.002468%"
"2023-09-19 01:00:00","BTCUSDT Perpetual","8h","-0.006774%"
"2023-09-18 17:00:00","BTCUSDT Perpetual","8h","0.000579%"
"2023-09-18 09:00:00","BTCUSDT Perpetual","8h","-0.000508%"
"2023-09-18 01:00:00","BTCUSDT Perpetual","8h","0.000649%"
"2023-09-17 17:00:00","BTCUSDT Perpetual","8h","0.001142%"
"2023-09-17 09:00:00","BTCUSDT Perpetual","8h","0.000897%"
"2023-09-17 01:00:00","BTCUSDT Perpetual","8h","-0.003161%"
"2023-09-16 17:00:00","BTCUSDT Perpetual","8h","-0.004320%"
"2023-09-16 09:00:00","BTCUSDT Perpetual","8h","-0.001381%"
"2023-09-16 01:00:00","BTCUSDT Perpetual","8h","0.007561%"
"2023-09-15 17:00:00","BTCUSDT Perpetual","8h","-0.000761%"
"2023-09-15 09:00:00","BTCUSDT Perpetual","8h","-0.002641%"
"2023-09-15 01:00:00","BTCUSDT Perpetual","8h","-0.004748%"
"2023-09-14 17:00:00","BTCUSDT Perpetual","8h","0.003427%"
"2023-09-14 09:00:00","BTCUSDT Perpetual","8h","0.000461%"
"2023-09-14 01:00:00","BTCUSDT Perpetual","8h","0.003099%"
"2023-09-13 17:00:00","BTCUSDT Perpetual","8h","0.001260%"
"2023-09-13 09:00:00","BTCUSDT Perpetual","8h","0.002342%"
"2023-09-13 01:00:00","BTCUSDT Perpetual","8h","-0.003502%"
"2023-09-12 17:00:00","BTCUSDT Perpetual","8h","0.005425%"
"2023-09-12 09:00:00","BTCUSDT Perpetual","8h","0.002730%"
"2023-09-12 01:00:00","BTCUSDT Perpetual","8h","0.001838%"
"2023-09-11 17:00:00","BTCUSDT Perpetual","8h","0.001823%"
"2023-09-11 09:00:00","BTCUSDT Perpetual","8h","-0.000300%"
"2023-09-11 01:00:00","BTCUSDT Perpetual","8h","0.002609%"
"2023-09-10 17:00:00","BTCUSDT Perpetual","8h","0.003294%"
"2023-09-10 09:00:00","BTCUSDT Perpetual","8h","-0.000073%"
"2023-09-10 01:00:00","BTCUSDT Perpetual","8h","0.001423%"
"2023-09-09 17:00:00","BTCUSDT Perpetual","8h","-0.000377%"
"2023-09-09 09:00:00","BTCUSDT Perpetual","8h","-0.005057%"
"2023-09-09 01:00:00","BTCUSDT Perpetual","8h","-0.001691%"
"2023-09-08 17:00:00","BTCUSDT Perpetual","8h","0.000512%"
"2023-09-08 09:00:00","BTCUSDT Perpetual","8h","-0.001525%"
"2023-09-08 01:00:00","BTCUSDT Perpetual","8h","0.006924%"
"2023-09-07 17:00:00","BTCUSDT Perpetual","8h","0.003882%"
"2023-09-07 09:00:00","BTCUSDT Perpetual","8h","0.003830%"
"2023-09-07 01:00:00","BTCUSDT Perpetual","8h","0.002135%"
"2023-09-06 17:00:00","BTCUSDT Perpetual","8h","-0.002763%"
"2023-09-06 09:00:00","BTCUSDT Perpetual","8h","0.001737%"
"2023-09-06 01:00:00","BTCUSDT Perpetual","8h","0.003366%"
"2023-09-05 17:00:00","BTCUSDT Perpetual","8h","0.001974%"
"2023-09-05 09:00:00","BTCUSDT Perpetual","8h","0.000053%"
"2023-09-05 01:00:00","BTCUSDT Perpetual","8h","-0.001059%"
"2023-09-04 17:00:00","BTCUSDT Perpetual","8h","0.001469%"
"2023-09-04 09:00:00","BTCUSDT Perpetual","8h","0.002690%"
"2023-09-04 01:00:00","BTCUSDT Perpetual","8h","0.002890%"
"2023-09-03 17:00:00","BTCUSDT Perpetual","8h","0.000235%"
"2023-09-03 09:00:00","BTCUSDT Perpetual","8h","0.004839%"
"2023-09-03 01:00:00","BTCUSDT Perpetual","8h","-0.002018%"
"2023-09-02 17:00:00","BTCUSDT Perpetual","8h","0.001937%"
"2023-09-02 09:00:00","BTCUSDT Perpetual","8h","0.004998%"
"2023-09-02 01:00:00","BTCUSDT Perpetual","8h","0.006253%"
"2023-09-01 17:00:00","BTCUSDT Perpetual","8h","0.005967%"
"2023-09-01 09:00:00","BTCUSDT Perpetual","8h","0.002583%"
"2023-09-01 01:00:00","BTCUSDT Perpetual","8h","0.008105%"
"2023-08-31 17:00:00","BTCUSDT Perpetual","8h","0.006859%"
"2023-08-31 09:00:00","BTCUSDT Perpetual","8h","0.002909%"
"2023-08-31 01:00:00","BTCUSDT Perpetual","8h","0.003944%"
"2023-08-30 17:00:00","BTCUSDT Perpetual","8h","0.005731%"
"2023-08-30 09:00:00","BTCUSDT Perpetual","8h","0.004868%"
"2023-08-30 01:00:00","BTCUSDT Perpetual","8h","-0.010934%"
"2023-08-29 17:00:00","BTCUSDT Perpetual","8h","0.003769%"
"2023-08-29 09:00:00","BTCUSDT Perpetual","8h","0.000824%"
"2023-08-29 01:00:00","BTCUSDT Perpetual","8h","0.004524%"
"2023-08-28 17:00:00","BTCUSDT Perpetual","8h","0.004424%"
"2023-08-28 09:00:00","BTCUSDT Perpetual","8h","-0.000395%"
"2023-08-28 01:00:00","BTCUSDT Perpetual","8h","0.001232%"
"2023-08-27 17:00:00","BTCUSDT Perpetual","8h","0.003975%"
"2023-08-27 09:00:00","BTCUSDT Perpetual","8h","0.000099%"
"2023-08-27 01:00:00","BTCUSDT Perpetual","8h","0.002096%"
"2023-08-26 17:00:00","BTCUSDT Perpetual","8h","0.005334%"
"2023-08-26 09:00:00","BTCUSDT Perpetual","8h","0.003820%"
"2023-08-26 01:00:00","BTCUSDT Perpetual","8h","0.005218%"
"2023-08-25 17:00:00","BTCUSDT Perpetual","8h","0.002802%"
"2023-08-25 09:00:00","BTCUSDT Perpetual","8h","-0.000659%"
"2023-08-25 01:00:00","BTCUSDT Perpetual","8h","0.004900%"
"2023-08-24 17:00:00","BTCUSDT Perpetual","8h","0.002506%"
"2023-08-24 09:00:00","BTCUSDT Perpetual","8h","-0.002822%"
"2023-08-24 01:00:00","BTCUSDT Perpetual","8h","0.003247%"
"2023-08-23 17:00:00","BTCUSDT Perpetual","8h","-0.001020%"
"2023-08-23 09:00:00","BTCUSDT Perpetual","8h","0.000739%"
"2023-08-23 01:00:00","BTCUSDT Perpetual","8h","0.003048%"
"2023-08-22 17:00:00","BTCUSDT Perpetual","8h","-0.001928%"
"2023-08-22 09:00:00","BTCUSDT Perpetual","8h","-0.000308%"
"2023-08-22 01:00:00","BTCUSDT Perpetual","8h","-0.001619%"
"2023-08-21 17:00:00","BTCUSDT Perpetual","8h","0.000816%"
"2023-08-21 09:00:00","BTCUSDT Perpetual","8h","-0.002797%"
"2023-08-21 01:00:00","BTCUSDT Perpetual","8h","-0.000193%"
"2023-08-20 17:00:00","BTCUSDT Perpetual","8h","-0.004364%"
"2023-08-20 09:00:00","BTCUSDT Perpetual","8h","-0.003069%"
"2023-08-20 01:00:00","BTCUSDT Perpetual","8h","-0.005286%"
"2023-08-19 17:00:00","BTCUSDT Perpetual","8h","-0.000322%"
"2023-08-19 09:00:00","BTCUSDT Perpetual","8h","-0.000274%"
"2023-08-19 01:00:00","BTCUSDT Perpetual","8h","0.005166%"
"2023-08-18 17:00:00","BTCUSDT Perpetual","8h","-0.000046%"
"2023-08-18 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-18 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-17 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-17 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-17 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-16 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-16 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-16 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-15 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-15 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-15 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-14 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-14 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-14 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-13 17:00:00","BTCUSDT Perpetual","8h","0.004637%"
"2023-08-13 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-13 01:00:00","BTCUSDT Perpetual","8h","0.009304%"
"2023-08-12 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-12 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-12 01:00:00","BTCUSDT Perpetual","8h","0.007122%"
"2023-08-11 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-11 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-11 01:00:00","BTCUSDT Perpetual","8h","0.008277%"
"2023-08-10 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-10 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-10 01:00:00","BTCUSDT Perpetual","8h","0.008877%"
"2023-08-09 17:00:00","BTCUSDT Perpetual","8h","0.009527%"
"2023-08-09 09:00:00","BTCUSDT Perpetual","8h","0.008110%"
"2023-08-09 01:00:00","BTCUSDT Perpetual","8h","0.005944%"
"2023-08-08 17:00:00","BTCUSDT Perpetual","8h","0.009136%"
"2023-08-08 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-08 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-07 17:00:00","BTCUSDT Perpetual","8h","0.007669%"
"2023-08-07 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-07 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-06 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-06 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-06 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-05 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-05 09:00:00","BTCUSDT Perpetual","8h","0.004181%"
"2023-08-05 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-04 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-04 09:00:00","BTCUSDT Perpetual","8h","0.008116%"
"2023-08-04 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-03 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-03 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-03 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-02 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-02 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-02 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-08-01 17:00:00","BTCUSDT Perpetual","8h","0.006768%"
"2023-08-01 09:00:00","BTCUSDT Perpetual","8h","0.006300%"
"2023-08-01 01:00:00","BTCUSDT Perpetual","8h","0.008239%"
"2023-07-31 17:00:00","BTCUSDT Perpetual","8h","0.007362%"
"2023-07-31 09:00:00","BTCUSDT Perpetual","8h","0.002369%"
"2023-07-31 01:00:00","BTCUSDT Perpetual","8h","0.004357%"
"2023-07-30 17:00:00","BTCUSDT Perpetual","8h","0.005560%"
"2023-07-30 09:00:00","BTCUSDT Perpetual","8h","0.008151%"
"2023-07-30 01:00:00","BTCUSDT Perpetual","8h","0.007530%"
"2023-07-29 17:00:00","BTCUSDT Perpetual","8h","0.004567%"
"2023-07-29 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-07-29 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-07-28 17:00:00","BTCUSDT Perpetual","8h","0.006674%"
"2023-07-28 09:00:00","BTCUSDT Perpetual","8h","0.004373%"
"2023-07-28 01:00:00","BTCUSDT Perpetual","8h","0.002876%"
"2023-07-27 17:00:00","BTCUSDT Perpetual","8h","0.003830%"
"2023-07-27 09:00:00","BTCUSDT Perpetual","8h","0.003136%"
"2023-07-27 01:00:00","BTCUSDT Perpetual","8h","0.005768%"
"2023-07-26 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-07-26 09:00:00","BTCUSDT Perpetual","8h","0.009451%"
"2023-07-26 01:00:00","BTCUSDT Perpetual","8h","0.009465%"
"2023-07-25 17:00:00","BTCUSDT Perpetual","8h","0.006913%"
"2023-07-25 09:00:00","BTCUSDT Perpetual","8h","0.007702%"
"2023-07-25 01:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-07-24 17:00:00","BTCUSDT Perpetual","8h","0.004338%"
"2023-07-24 09:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-07-24 01:00:00","BTCUSDT Perpetual","8h","0.009372%"
"2023-07-23 17:00:00","BTCUSDT Perpetual","8h","0.010000%"
"2023-07-23 09:00:00","BTCUSDT Perpetual","8h","0.002908%"
"2023-07-23 01:00:00","BTCUSDT Perpetual","8h","0.000177%"
"2023-07-22 17:00:00","BTCUSDT Perpetual","8h","0.000944%"
"2023-07-22 09:00:00","BTCUSDT Perpetual","8h","0.002195%"
"2023-07-22 01:00:00","BTCUSDT Perpetual","8h","0.003717%"
"2023-07-21 17:00:00","BTCUSDT Perpetual","8h","0.000777%"
"2023-07-21 09:00:00","BTCUSDT Perpetual","8h","0.002877%"
"2023-07-21 01:00:00","BTCUSDT Perpetual","8h","0.005563%"
"2023-07-20 17:00:00","BTCUSDT Perpetual","8h","0.009640%"
"2023-07-20 09:00:00","BTCUSDT Perpetual","8h","0.002652%"
"2023-07-20 01:00:00","BTCUSDT Perpetual","8h","0.007690%"
